290	882.6125331	1719	0.147	6.75	0.000675
310	860.5851979	1774	0.141	5.14	0.000514
330	838.9261745	1836	0.135	3.95	0.000395
350	816.9934641	1890	0.129	3.23	0.000323
370	794.2811755	1950	0.123	2.72	0.000272
390	771.0100231	2030	0.117	2.24	0.000224
410	746.2686567	2110	0.111	1.88	0.000188
430	720.4610951	2210	0.104	1.6	0.00016
450	692.5207756	2320	0.098	1.37	0.000137
470	662.2516556	2450	0.092	1.1	0.00011
490	628.5355123	2590	0.086	1.05	0.000105
510	589.2751915	2750	0	0.91	0.000091
530	540.8328826	2941	0	0.77	0.000077
550	442.8697963	0	0	0.65	0.000065
560	398.089172	0	0	0.6	0.00006
