90.37	651.8904824	  2260	0.215	14.19	0.001419
110	    635.7279085	  2284	0.201	6.57	0.000657
130	    608.2725061	  2302	0.187	3.81	0.000381
150	    585.4800937	  2333	0.174	2.55	0.000255
170 	561.7977528	  2383	0.16	1.88	0.000188
190 	537.056928	  2458	0.147	1.47	0.000147
210 	510.7252298	  2568	0.133	1.21	0.000121
230 	481.6955684	  2730	0.119	1.03	0.000103
250 	448.2294935	  2991	0.106	0.82	0.000082
270 	407.8303426	  3511	0.092	0.64	0.000064
290 	351.2469266	  5089	0.078	0.44	0.000044
305.3 	204.4571662	  0   	0	    0	    0
