273	    1470.588235	    1450	0.483	18	    0.0018
300	    1449.275362	    1480	0.481	11.3	0.00113
350	    1388.888889	    1540	0.474	4.3	    0.00043
400	    1315.789474	    1610	0.464	2.2	    0.00022
450	    1234.567901	    1680	0.453	1.3	    0.00013
500	    1136.363636	    1750	0.443	0.89	0.000089
550	    1052.631579	    1820	0.431	0.65	0.000065
600	    934.5794393	    1900	0.416	0.5	    0.00005
650	    800	            0	    0	    0	    0
700	    584.7953216	    0	    0	    0	    0
708.5	352.1126761	    0	    0	    0	    0
